Active;x1;pmv1;x2;pmv2;x3;pmv3;x4;pmv4;x5;pmv5;LUMO;HOMO;GapHL;Dipole_Moment;ASA;a_aro;a_count;a_heavy;balabanJ;chi0;KierFlex;lip_acc;lip_don;logS;mr;rings;vdw_area;vdw_vol;Weight;weinerPath;weinerPol;zagreb;apol;bpol;McGowan_Volume;PetitjeanNumber;CPCM1;CPCM2;CPCM3;CPCM4;CPCM5;SMD1;SMD2;SMD3;SMD4;SMD5;mol
1;136,198349;691,447021;132,412537;1379,79639;619,700256;660,72583;-5,11598253;699,949524;94,7661133;693,176514;-0,02657;-0,37097;-9,37167504;4,9317;727,75885;5;71;38;1,5365694;27,672998;5,4664483;8;1;-5,9273801;13,520303;5;494,70435;677,6189;528,573;3987;84;220;80,017169;46,858831;3,795;0,5;-385,496429;-381,1059771;-381,190364;-387,3606618;-388,9215142;-391,5780492;-388,0786405;-387,5683805;-392,1095823;-390,8363302;F[C@]12[C@H](O)C[C@@]3(C)[C@](OC(=O)c4occc4)(C(=O)COC(=O)C)[C@H](C)C[C@H]3[C@@H]1CCC=1[C@]2(C)C=CC(=O)C=1
1;107,739731;552,494507;100,428955;1102,14319;495,905396;531,290039;-5,83328199;525,171753;77,167778;553,500122;-0,01743;-0,37471;-9,722160448;5,4486;584,62488;0;57;29;1,6994076;21,405413;4,7980361;4;1;-4,8099399;11,282383;4;406,88766;552,34998;439,379;1925;68;172;66,718204;34,323796;3,1795;0,461538462;-311,5193213;-308,4515475;-308,5110245;-312,8046084;-313,8723115;-318,6480396;-315,79739;-315,397908;-319,4503749;-316,0480061;Cl[C@@H]1[C@@]2(Cl)[C@@]3(C)C(=CC(=O)C=C3)CC[C@@H]2[C@@H]2[C@@](C)([C@@](O)(C(=O)CC(=O)C)CC2)C1
1;128,782059;665,235046;125,498756;1372,19104;590,52356;627,157166;-7,40454912;666,052368;90,9466248;663,619446;-0,00314;-0,31002;-8,350695808;0,3314;813,38519;18;66;33;1,1330882;22,882257;6,5579891;3;1;-5,9047399;13,211686;4;467,2865;647,59082;449,58899;3994;46;166;75,698169;43,101831;3,5672;0,473684211;-367,0599415;-364,3456647;-364,3993008;-368,1640693;-369,0656718;-381,5749882;-375,7495513;-375,2176878;-377,7360153;-369,9521462;Fc1ccc(C(CCCN2CCN(CCNc3ccccc3)CC2)c2ccc(F)cc2)cc1
1;99,1350021;512,194763;91,9328156;1026,34009;458,588257;492,202454;-5,98602152;489,384308;70,546524;514,289246;-0,02219;-0,37843;-9,693860384;5,5324;559,47382;0;56;28;1,7674142;20,645901;3,8563511;4;2;-4,20682;10,025242;4;361,59531;509,63681;394,45798;1674;66;166;61,712204;34,931796;2,8722;0,5;-311,0376376;-308,0533723;-308,1111853;-312,2894571;-313,3300716;-316,7956687;-313,692855;-313,308129;-317,9366285;-315,3830951;F[C@H]1C=2[C@](C)([C@]3(F)[C@@H](O)C[C@@]4(C)[C@H](C(=O)CO)[C@H](C)C[C@@H]4[C@H]3C1)C=CC(=O)C=2
1;127,022987;650,13916;119,84478;1302,47253;581,533569;622,281433;-6,25980043;635,627441;90,3601151;653,4422;-0,01641;-0,37335;-9,712908504;7,2912;697,69006;0;70;34;1,6207014;25,430357;5,2434211;5;1;-5,4302001;12,396432;4;468,91428;635,10071;478,57599;3162;75;198;76,648548;46,551452;3,5924;0,466666667;-389,3404426;-385,7396608;-385,8092058;-390,8564683;-392,118603;-396,267054;-392,214331;-391,7147114;-397,4233675;-392,8497529;F[C@@H]1C=2[C@@](C)([C@@]3(F)[C@H](O)C[C@]4(C)[C@@H](C(=O)COC(=O)C(C)(C)C)[C@@H](C)C[C@H]4[C@@H]3C1)C=CC(=O)C=2
1;74,1259079;373,146362;79,1816483;798,194641;326,496765;343,544464;-1,49826467;426,839844;50,8121452;372,878326;-0,01209;-0,32834;-8,6056685;3,55;478,0365;5;35;18;2,0717258;13,447229;2,3714242;7;0;-0,58622003;6,5685906;2;294,18451;332,3443;251,28999;581;30;94;37,799481;29,740519;1,8857;0,444444444;-189,4791025;-187,1857714;-187,2310158;-190,4143201;-191,1790745;-197,0937952;-195,0047044;-194,7180735;-195,6336218;-194,3056633;O=C1N(C)C(=O)c2n(CCN(C)C)cnc2N1C
1;113,576408;584,458069;102,390915;1147,89355;526,138245;565,077454;-6,57617188;544,096313;82,6676941;585,534729;0,00917;-0,32154;-8,999148236;3,8012;620,948;6;66;31;1,4211942;21,38854;3,4540133;5;2;-3,5921099;11,597583;7;385,63034;590,34711;425,569;2039;77;202;73,405755;44,074245;5,3166;0,5;-375,5914669;-373,1261305;-373,1740052;-376,621923;-377,4768218;-383,922808;-380,1942523;-379,7496907;-384,0816178;-379,4878537;O(C)[C@@]12[C@@H](C(O)(C)C)C[C@]3([C@H]4N(CC5CC5)CC[C@]53[C@H]1Oc1c(O)ccc(c51)C4)CC2
1;116,451096;599,608582;107,117493;1187,76965;540,053955;579,469055;-6,64545679;568,809204;83,3833466;602,251465;-0,0075;-0,36466;-9,718895056;7,8023;639,63971;0;67;31;1,6901633;22,604084;5,0265074;5;1;-5,4170799;11,862071;4;430,68967;604,38702;428,569;2328;68;176;73,774548;44,145452;3,4161;0,5;-381,5477333;-378,1038282;-378,1703119;-382,9994938;-384,2094615;-388,8632769;-385,4415632;-384,9972918;-390,2821418;-386,7514373;O=C(O[C@]1(C(=O)C)[C@@]2(C)[C@@H]([C@@H]3[C@@H]([C@@H](O)C2)[C@@]2(C)C(=CC(=O)C=C2)CC3)CCC1)CCC
1;91,0627747;465,91687;85,046669;939,614136;417,445709;446,657104;-4,58213663;454,268982;65,7610168;468,142761;0,00398;-0,33486;-9,220378544;2,5779;525,54059;6;51;24;1,808786;17,11252;3,5457609;5;2;-2,05123;9,0654535;4;331,65329;461,03113;333,42798;1062;55;140;55,751411;35,328589;2,5569;0,444444444;-287,6998955;-285,8159608;-285,8532726;-288,4641605;-289,0875702;-293,3086748;-290,3733494;-289,9982811;-294,2556627;-291,5100869;O(C)c1c(OC)ccc2c1[C@@]13[C@](O)([C@H](N(C)CC1)C2)CC[C@H](O)C3
1;83,7827225;433,248535;83,760849;905,63031;385,355072;407,503174;-4,70734453;440,246704;56,6701393;430,447906;-0,0156;-0,31771;-8,220896476;1,1884;548,09357;15;40;21;1,6009096;14,493353;4,0105391;2;1;-4,85642;9,1028519;3;299,41977;419,95251;297,422;931;29;106;49,151067;25,626933;2,34;0,5;-216,6039136;-214,6705697;-214,7086649;-217,3940745;-218,041169;-225,0866484;-221,827239;-221,4833683;-222,326545;-217,4398545;O([C@@H](CCNC)c1sccc1)c1c2c(ccc1)cccc2
